,Atlético-MG,Bahia,Botafogo,Ceará,Corinthians,Cruzeiro,Flamengo,Fluminense,Fortaleza,Juventude,Grêmio,Internacional,Mirassol,Palmeiras,RB Bragantino,Santos,São Paulo,Sport,Vasco,Vitória
Atlético-MG,0,964.3,339.5,1885.6,488.5,0,339.5,339.5,1885.6,1258.6,1339.0,1339.0,589.0,488.5,430.0,507.8,488.5,1636.2,339.5,964.3
Bahia,964.3,0,1207.4,1023.3,1452.1,964.3,1207.4,1207.4,1023.3,2221.6,2299.9,2299.9,1458.8,1452.1,1394.3,1467.5,1452.1,671.9,1207.4,0
Botafogo,339.5,1207.4,0,2181.5,357.5,339.5,0,0,2181.5,1056.2,1122.8,1122.8,691.1,357.5,341.8,338.3,357.5,1869.1,0,1207.4
Ceará,1885.6,1023.3,2181.5,0,2360.2,1885.6,2181.5,2181.5,0,3117.0,3204.2,3204.2,2233.4,2360.2,2295.5,2387.6,2360.2,625.5,2181.5,1023.3
Corinthians,488.5,1452.1,357.5,2360.2,0,488.5,357.5,357.5,2360.2,770.1,851.1,851.1,423.8,0,67.0,52.6,0,2123.9,357.5,1452.1
Cruzeiro,0,964.3,339.5,1885.6,488.5,0,339.5,339.5,1885.6,1258.6,1339.0,1339.0,589.0,488.5,430.0,507.8,488.5,1636.2,339.5,964.3
Flamengo,339.5,1207.4,0,2181.5,357.5,339.5,0,0,2181.5,1056.2,1122.8,1122.8,691.1,357.5,341.8,338.3,357.5,1869.1,0,1207.4
Fluminense,339.5,1207.4,0,2181.5,357.5,339.5,0,0,2181.5,1056.2,1122.8,1122.8,691.1,357.5,341.8,338.3,357.5,1869.1,0,1207.4
Fortaleza,1885.6,1023.3,2181.5,0,2360.2,1885.6,2181.5,2181.5,0,3117.0,3204.2,3204.2,2233.4,2360.2,2295.5,2387.6,2360.2,625.5,2181.5,1023.3
Juventude,1258.6,2221.6,1056.2,3117.0,770.1,1258.6,1056.2,1056.2,3117.0,0,95.9,95.9,940.7,770.1,830.3,754.8,770.1,2893.2,1056.2,2221.6
Grêmio,1339.0,2299.9,1122.8,3204.2,851.1,1339.0,1122.8,1122.8,3204.2,95.9,0,0,1035.8,851.1,912.9,832.5,851.1,2970.9,1122.8,2299.9
Internacional,1339.0,2299.9,1122.8,3204.2,851.1,1339.0,1122.8,1122.8,3204.2,95.9,0,0,1035.8,851.1,912.9,832.5,851.1,2970.9,1122.8,2299.9
Mirassol,589.0,1458.8,691.1,2233.4,423.8,589.0,691.1,691.1,2233.4,940.7,1035.8,1035.8,0,423.8,387.2,475.9,423.8,2113.0,691.1,1458.8
Palmeiras,488.5,1452.1,357.5,2360.2,0,488.5,357.5,357.5,2360.2,770.1,851.1,851.1,423.8,0,67.0,52.6,0,2123.9,357.5,1452.1
RB Bragantino,430.0,1394.3,341.8,2295.5,67.0,430.0,341.8,341.8,2295.5,830.3,912.9,912.9,387.2,67.0,0,110.9,67.0,2066.2,341.8,1394.3
Santos,507.8,1467.5,338.3,2387.6,52.6,507.8,338.3,338.3,2387.6,754.8,832.5,832.5,475.9,52.6,110.9,0,52.6,2138.8,338.3,1467.5
São Paulo,488.5,1452.1,357.5,2360.2,0,488.5,357.5,357.5,2360.2,770.1,851.1,851.1,423.8,0,67.0,52.6,0,2123.9,357.5,1452.1
Sport,1636.2,671.9,1869.1,625.5,2123.9,1636.2,1869.1,1869.1,625.5,2893.2,2970.9,2970.9,2113.0,2123.9,2066.2,2138.8,2123.9,0,1869.1,671.9
Vasco,339.5,1207.4,0,2181.5,357.5,339.5,0,0,2181.5,1056.2,1122.8,1122.8,691.1,357.5,341.8,338.3,357.5,1869.1,0,1207.4
Vitória,964.3,0,1207.4,1023.3,1452.1,964.3,1207.4,1207.4,1023.3,2221.6,2299.9,2299.9,1458.8,1452.1,1394.3,1467.5,1452.1,671.9,1207.4,0
